,</s>,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
</s> o,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> p,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> q,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> r,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> s,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> t,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> u,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> v,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> w,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> x,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> y,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
</s> z,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
<s> </s>,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
<s> <s>,6.421370320426378e-05,0.05682912733577345,0.06691067873884286,0.09516470814871894,0.058562897322288573,0.03557439157516214,0.049765619983304435,0.03595967379438772,0.039427213767417965,0.028896166441918704,0.009054132151801194,0.009246773261413986,0.03390483529185128,0.05201309959545367,0.01797983689719386,0.020933667244589997,0.07667116162589097,0.0038528221922558272,0.05137096256341103,0.12515250754511012,0.054003724394785846,0.02613497720413536,0.01457651062736788,0.031336287163680726,0.000321068516021319,0.003917035895460091,0.0023116933153534964
<s> a,0.0010964912280701754,0.0010964912280701754,0.0756578947368421,0.07017543859649122,0.08442982456140351,0.008771929824561403,0.03508771929824561,0.027412280701754384,0.0021929824561403508,0.03399122807017544,0.0010964912280701754,0.0021929824561403508,0.09758771929824561,0.06030701754385965,0.12938596491228072,0.0021929824561403508,0.05592105263157895,0.008771929824561403,0.09100877192982457,0.07785087719298246,0.044956140350877194,0.04276315789473684,0.015350877192982455,0.017543859649122806,0.006578947368421052,0.0021929824561403508,0.003289473684210526
<s> b,0.0009354536950420954,0.2039289055191768,0.0009354536950420954,0.0009354536950420954,0.0009354536950420954,0.13470533208606175,0.0009354536950420954,0.0009354536950420954,0.0009354536950420954,0.08793264733395698,0.0009354536950420954,0.0009354536950420954,0.13096351730589337,0.0009354536950420954,0.0009354536950420954,0.14873713751169318,0.0009354536950420954,0.0009354536950420954,0.13938260056127222,0.0009354536950420954,0.0009354536950420954,0.13096351730589337,0.0009354536950420954,0.0009354536950420954,0.0009354536950420954,0.004677268475210477,0.0009354536950420954
<s> c,0.0006626905235255136,0.19218025182239895,0.0006626905235255136,0.0006626905235255136,0.0006626905235255136,0.03711066931742876,0.0006626905235255136,0.0006626905235255136,0.13916500994035785,0.02385685884691849,0.0006626905235255136,0.0006626905235255136,0.07952286282306163,0.0006626905235255136,0.0006626905235255136,0.3359840954274354,0.0006626905235255136,0.0006626905235255136,0.11000662690523526,0.0006626905235255136,0.0006626905235255136,0.05765407554671968,0.0006626905235255136,0.0006626905235255136,0.0006626905235255136,0.010603048376408217,0.0019880715705765406
<s> d,0.0010649627263045794,0.0926517571884984,0.0010649627263045794,0.0010649627263045794,0.0010649627263045794,0.32694355697550587,0.0010649627263045794,0.0010649627263045794,0.003194888178913738,0.2641107561235357,0.0010649627263045794,0.0010649627263045794,0.0010649627263045794,0.0010649627263045794,0.0010649627263045794,0.12247071352502663,0.0010649627263045794,0.0010649627263045794,0.08519701810436635,0.0010649627263045794,0.0010649627263045794,0.06389776357827476,0.0010649627263045794,0.005324813631522897,0.0010649627263045794,0.01597444089456869,0.0010649627263045794
<s> e,0.0017211703958691911,0.06196213425129088,0.0034423407917383822,0.03098106712564544,0.022375215146299483,0.0034423407917383822,0.024096385542168676,0.01721170395869191,0.0017211703958691911,0.012048192771084338,0.008605851979345954,0.0017211703958691911,0.08089500860585198,0.08777969018932874,0.1686746987951807,0.0034423407917383822,0.03442340791738382,0.022375215146299483,0.04130808950086059,0.03442340791738382,0.020654044750430294,0.010327022375215147,0.05335628227194492,0.0034423407917383822,0.23235800344234078,0.013769363166953529,0.0017211703958691911
<s> f,0.0012468827930174563,0.1483790523690773,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.09102244389027432,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.1546134663341646,0.0024937655860349127,0.0012468827930174563,0.18204488778054864,0.0012468827930174563,0.0012468827930174563,0.19576059850374064,0.0012468827930174563,0.0012468827930174563,0.13341645885286782,0.0012468827930174563,0.0012468827930174563,0.06733167082294264,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563
<s> g,0.0017035775127768314,0.1635434412265758,0.0017035775127768314,0.0017035775127768314,0.0017035775127768314,0.10051107325383304,0.0017035775127768314,0.0017035775127768314,0.013628620102214651,0.06814310051107325,0.0017035775127768314,0.0017035775127768314,0.10391822827938671,0.0017035775127768314,0.013628620102214651,0.131175468483816,0.0017035775127768314,0.0017035775127768314,0.2555366269165247,0.0017035775127768314,0.0017035775127768314,0.10391822827938671,0.0017035775127768314,0.0017035775127768314,0.0017035775127768314,0.015332197614991482,0.0017035775127768314
<s> h,0.0015600624024961,0.2620904836193448,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.20280811232449297,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.10140405616224649,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.23712948517940718,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.1060842433697348,0.0015600624024961,0.0015600624024961,0.0015600624024961,0.056162246489859596,0.0015600624024961
<s> i,0.0020964360587002098,0.006289308176100629,0.008385744234800839,0.014675052410901468,0.033542976939203356,0.0020964360587002098,0.0020964360587002098,0.018867924528301886,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098,0.023060796645702306,0.16771488469601678,0.59958071278826,0.010482180293501049,0.0020964360587002098,0.0020964360587002098,0.031446540880503145,0.031446540880503145,0.018867924528301886,0.0020964360587002098,0.0041928721174004195,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098
<s> j,0.005952380952380952,0.2261904761904762,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.14285714285714285,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.10119047619047619,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.17857142857142858,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.21428571428571427,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952
<s> k,0.005847953216374269,0.13450292397660818,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.14035087719298245,0.005847953216374269,0.005847953216374269,0.017543859649122806,0.2807017543859649,0.005847953216374269,0.005847953216374269,0.011695906432748537,0.005847953216374269,0.19883040935672514,0.03508771929824561,0.005847953216374269,0.005847953216374269,0.04093567251461988,0.005847953216374269,0.005847953216374269,0.023391812865497075,0.005847953216374269,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.005847953216374269
<s> l,0.0018018018018018018,0.25765765765765763,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.19099099099099098,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.2072072072072072,0.0018018018018018018,0.0018018018018018018,0.0036036036036036037,0.0018018018018018018,0.0018018018018018018,0.21621621621621623,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.06846846846846846,0.0018018018018018018,0.0018018018018018018,0.0018018018018018018,0.018018018018018018,0.0018018018018018018
<s> m,0.0011947431302270011,0.32616487455197135,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.16367980884109917,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.1816009557945042,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.1959378733572282,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.0908004778972521,0.0011947431302270011,0.0011947431302270011,0.0011947431302270011,0.015531660692951015,0.0011947431302270011
<s> n,0.003257328990228013,0.19218241042345277,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.2703583061889251,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.16286644951140064,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.2182410423452769,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.0781758957654723,0.003257328990228013,0.003257328990228013,0.003257328990228013,0.006514657980456026,0.003257328990228013
<s> o,0.0028328611898017,0.025495750708215296,0.10764872521246459,0.05099150141643059,0.019830028328611898,0.0028328611898017,0.053824362606232294,0.0084985835694051,0.0084985835694051,0.014164305949008499,0.0028328611898017,0.0056657223796034,0.0226628895184136,0.031161473087818695,0.042492917847025496,0.0056657223796034,0.0821529745042493,0.0028328611898017,0.10764872521246459,0.028328611898016998,0.0169971671388102,0.14447592067988668,0.1643059490084986,0.0169971671388102,0.014164305949008499,0.0084985835694051,0.0056657223796034
<s> p,0.000819000819000819,0.1941031941031941,0.000819000819000819,0.000819000819000819,0.000819000819000819,0.1285831285831286,0.000819000819000819,0.000819000819000819,0.031122031122031123,0.09418509418509419,0.000819000819000819,0.000819000819000819,0.08026208026208026,0.000819000819000819,0.002457002457002457,0.15806715806715807,0.000819000819000819,0.000819000819000819,0.21785421785421785,0.009009009009009009,0.001638001638001638,0.0647010647010647,0.000819000819000819,0.000819000819000819,0.000819000819000819,0.004914004914004914,0.000819000819000819
<s> q,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.6896551724137931,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218
<s> r,0.0012091898428053204,0.1717049576783555,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.5405078597339782,0.0012091898428053204,0.0012091898428053204,0.013301088270858524,0.07980652962515115,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.11366384522370013,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.053204353083434096,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0024183796856106408,0.0012091898428053204
<s> s,0.0005060728744939271,0.07388663967611336,0.0005060728744939271,0.07338056680161943,0.0005060728744939271,0.09008097165991903,0.0005060728744939271,0.0005060728744939271,0.09058704453441295,0.05819838056680162,0.0005060728744939271,0.023785425101214574,0.0541497975708502,0.022267206477732792,0.03188259109311741,0.06325910931174089,0.08805668016194332,0.018218623481781375,0.0005060728744939271,0.0005060728744939271,0.16295546558704455,0.09716599190283401,0.0010121457489878543,0.03137651821862348,0.0005060728744939271,0.01417004048582996,0.0005060728744939271
<s> t,0.001152073732718894,0.1543778801843318,0.001152073732718894,0.001152073732718894,0.001152073732718894,0.14055299539170507,0.001152073732718894,0.001152073732718894,0.14516129032258066,0.07373271889400922,0.001152073732718894,0.001152073732718894,0.001152073732718894,0.001152073732718894,0.001152073732718894,0.14055299539170507,0.001152073732718894,0.001152073732718894,0.19815668202764977,0.0034562211981566822,0.001152073732718894,0.06566820276497695,0.001152073732718894,0.04608294930875576,0.001152073732718894,0.01152073732718894,0.001152073732718894
<s> u,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.004608294930875576,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.02304147465437788,0.018433179723502304,0.728110599078341,0.002304147465437788,0.08986175115207373,0.002304147465437788,0.03686635944700461,0.03225806451612903,0.020737327188940093,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788
<s> v,0.003937007874015748,0.23622047244094488,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.23228346456692914,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.30708661417322836,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.11023622047244094,0.003937007874015748,0.003937007874015748,0.007874015748031496,0.003937007874015748,0.003937007874015748,0.01968503937007874,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.003937007874015748
<s> w,0.001941747572815534,0.24854368932038834,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.13398058252427184,0.001941747572815534,0.001941747572815534,0.1436893203883495,0.19805825242718447,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.15922330097087378,0.001941747572815534,0.001941747572815534,0.07184466019417475,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.003883495145631068,0.001941747572815534
<s> x,0.03125,0.03125,0.03125,0.03125,0.03125,0.09375,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.09375,0.03125
<s> y,0.011363636363636364,0.20454545454545456,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.23863636363636365,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.18181818181818182,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.07954545454545454,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364
<s> z,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.1746031746031746,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.2222222222222222,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.14285714285714285,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.015873015873015872
